title	dur	artist	album	dAdded	value
If It Means A Lot To You	4:03	A Day to Remember	Homesick	2009-04-23, 10:45 PM	127
Emily	2:40	From First To Last	Dear Diary, My Teen Angst Has A Body Count	2008-08-25, 7:37 PM	140
Pray for Plagues	4:22	Bring Me the Horizon	Count Your Blessings	2008-10-05, 6:24 PM	115
This Time Imperfect	3:58	AFI	Sing The Sorrow	2008-08-05, 10:12 PM	140
When Life Meant More...	3:02	All Shall Perish	Awaken The Dreamers	2009-02-11, 9:11 PM	145
You Had Me At Hello	4:29	A Day to Remember	And Their Name Was Treason	2009-01-14, 11:34 PM	85
Infinite Death	3:53	Thy Art Is Murder	Infinite Death	2009-07-22, 12:03 AM	116
If You Can't Ride Two Horses at Once...You Should Get Out of the Circus	3:46	Asking Alexandria	Stand Up And Scream	2009-12-28, 4:22 PM	100
Sofi Needs A Ladder [Original Mix]	6:35	Deadmau5	Deadmau5	2010-11-09, 10:52 PM	128
This Is Exile	3:39	Whitechapel	This Is Exile	2008-09-08, 10:36 PM	141
Low	3:49	Brokencyde	THA $C3N3 MiXTaPe	2009-02-12, 8:43 PM	128
Two Birds Stoned At Once	2:48	Chiodos	Warped Tour 2009	2009-07-12, 2:10 AM	92
Eternal Refuge	3:42	Whitechapel	This Is Exile	2009-03-07, 8:54 PM	127
The 42nd Ego	3:30	Arsonists Get All the Girls	Portals	2009-10-08, 9:08 PM	150
Utah	3:51	Emarosa	This Is Your Way Out	2008-11-23, 11:39 PM	100
Ride The Wings Of Pestilence	4:28	From First to Last	Dear Diary, My Teen Angst Has A Body Count	2008-09-01, 10:08 PM	83
The Devil's Own	4:14	Five Finger Death Punch	The Way Of The Fist	2008-06-21, 4:09 PM	80
Forgive And Forget	3:33	Miss May I	Apologies Are For The Weak	2010-01-01, 9:34 PM	115
Daemon (The Procreated)	3:13	Whitechapel	This Is Exile	2009-04-03, 4:33 PM	147
Meet the Monster	4:23	Five Finger Death Punch	The Way Of The Fist	2008-08-05, 10:13 PM	130
My Heroine	3:28	Silverstein	Discovering the Waterfront	2008-05-14, 6:25 PM	154
Curses	3:59	Bullet For My Valentine	Bullet For My Valentine	2008-05-14, 6:24 PM	85
The Bleeding	4:32	Five Finger Death Punch	The Way Of The Fist	2008-06-21, 4:09 PM	113
Whore To A Chainsaw	3:21	Thy Art Is Murder	Infinite Death	2009-08-31, 1:48 AM	150
The Downfall Of Us All	3:29	A Day to Remember	Homesick	2009-05-27, 4:40 PM	130
NJ Leigon Iced Tea	3:31	A Day to Remember	Homesick	2009-04-23, 10:51 PM	149
Guys Like You Make Us Look Bad	3:52	blessthefall	His Last Walk	2008-11-23, 11:43 PM	100
I'm Made Of Wax, Larry, What Are You Made Of?	3:01	A Day to Remember	Homesick	2009-07-02, 12:06 AM	79
Professional Griefers feat. Gerard Way	4:04	Deadmau5	Album Title Goes Here	2012-08-18, 12:16 AM	128
Ghosts 'n Stuff (Featuring Rob Swire)	3:15	Deadmau5	For Lack of a Better Name	2010-09-09, 11:25 PM	128
My Fears Have Become Phobias	4:05	As Blood Runs Black	Allegiance	2008-05-30, 6:58 PM	118
Monument	3:48	A Day to Remember	For Those Who Have Heart	2009-02-01, 11:35 PM	80
Breaking My Own Heart	2:50	Haste the Day	Burning Bridges	2009-02-01, 11:35 PM	137
To Plant A Seed	3:50	We Came As Romans	To Plant A Seed	2010-04-21, 10:29 PM	132
The Guillotine	4:33	Escape the Fate	Dying Is Your Latest Fashion	2008-08-25, 7:36 PM	100
Slut Wif Nutz	2:56	OH!	OH!	2009-04-07, 11:36 PM	154
Possession	5:04	Whitechapel	This Is Exile	2009-03-26, 7:44 PM	130
I Don't Wanna care right now feat MDMA	4:04	Lupe Fiasco	Lasers	2011-06-05, 12:04 PM	122
Better Than This	2:45	Salt The Wound	Carnal Repercussions	2009-09-27, 2:13 PM	81
Voices	3:47	Saosin	Saosin	2008-06-11, 6:27 PM	90
The Day I Left The Womb	2:25	Escape the Fate	Dying Is Your Latest Fashion	2008-09-08, 10:35 PM	103
Empire	5:38	Chimaira	Resurrection	2009-02-02, 11:28 PM	100
Start The Shooting	4:44	A Day to Remember	For Those Who Have Heart	2009-04-05, 11:45 PM	90
Heartless	3:00	A Day to Remember	For Those Who Have Heart	2009-04-05, 11:46 PM	105
Homesick	3:57	A Day to Remember	Homesick	2009-02-01, 11:35 PM	110
Everchanging(acoustic)	4:21	Rise Against	This Is Noise	2008-11-19, 5:06 PM	122
The Danger In Starting A Fire	3:03	A Day to Remember	For Those Who Have Heart	2009-04-05, 11:41 PM	91
DREAMS	4:15	We Came As Romans	DREAMS EP	2009-12-19, 10:29 PM	155
Fast Forward To 2012	1:33	A Day to Remember	For Those Who Have Heart	2009-04-05, 11:41 PM	145
Holocausts	3:48	A Plea For Purging	Depravity	2009-09-16, 9:46 PM	138
