title	dur	artist	album	value	dAdded
ray feat. Hatsune Miku	5:01	BUMP OF CHICKEN	ray - Single	45	2014-11-21, 6:03 PM
Broken Arrows	3:53	Avicii	Stories	42	2015-10-03, 3:01 AM
Packaged (Shipping in 2013 remix)	4:54	livetune	DECORATOR EP	41	2014-10-31, 1:42 AM
ME!ME!ME! Part 3	2:38	TeddyLoid	ME!ME!ME! feat. daoko - Single	37	2015-06-16, 5:50 PM
Run & Run (Intro)	1:31	Hyuna	A+	36	2015-08-21, 3:16 PM
monochrome	6:09	綾倉盟	Blossom	36	2015-05-17, 3:31 AM
Shinonome Scrumble (feat. Hatsune Miku)	4:44	Dixie Flatline	Fragments	31	2012-07-09, 11:43 PM
여자 대통령	3:33	Girl's Day	여자 대통령	29	2015-07-01, 5:25 PM
DECORATOR	3:25	livetune	DECORATOR EP	26	2014-10-31, 1:42 AM
Zutter (GD & T.O.P)	3:14	BIGBANG	M A D E - Singles	25	2015-08-05, 2:00 AM
Jackpot	3:13	Block B	HER	25	2015-01-20, 1:24 PM
12월의 기적 Miracles in December	4:33	EXO	Miracles in December	25	2014-10-31, 3:10 AM
Sober	3:58	BIGBANG	M A D E - Singles	23	2015-07-01, 5:34 PM
We Like 2 Party	3:16	BIGBANG	M A D E - Singles	21	2015-06-29, 1:43 PM
길이나 Anyway	3:09	Akdong Musician	Play	20	2014-11-01, 1:22 AM
나비소녀 Don't Go	3:34	EXO	XOXO (Repackage)	20	2014-10-31, 3:07 AM
가르마 Hair Part	3:46	Akdong Musician	Play	19	2014-11-01, 1:22 AM
까탈레나 (Catallena)	3:13	Orange Caramel	The Third Single Catallena	19	2014-10-31, 3:14 AM
인공잔디 Artificial Grass	3:46	Akdong Musician	Play	18	2014-11-01, 1:22 AM
Galaxy	2:59	Akdong Musician	Play	18	2014-11-01, 1:22 AM
Bang Bang Bang	3:40	BIGBANG	M A D E - Singles	18	2015-06-29, 1:43 PM
너랑 나 You & I	4:00	IU	Last Fantasy	18	2011-11-29, 5:05 AM
200%	3:13	Akdong Musician	Play	17	2014-11-01, 1:22 AM
비밀 Secret	4:05	IU	Last Fantasy	17	2011-11-29, 5:05 AM
プライド革命	3:56	CHiCO with HoneyWorks	プライド革命	16	2015-10-09, 4:26 PM
Juvenile (feat. Kagamine Rin/Len)	4:55	Dixie Flatline	Fragments	16	2012-07-09, 11:43 PM
プレイボール	4:36	YUKI	playball / Sakamichi no Melody	16	2014-11-04, 10:52 PM
Sweetie Sweetie (feat. Hatsune Miku)	4:56	Dixie Flatline	Fragments	15	2012-07-09, 11:43 PM
Give Love	2:57	Akdong Musician	Play	14	2014-11-01, 1:22 AM
소재 Idea	3:20	Akdong Musician	Play	14	2014-11-01, 1:22 AM
Pure Grinding	2:52	Avicii	Stories	14	2015-10-03, 3:01 AM
Gemini (feat. Kagamine Rin/Len)	5:12	Dixie Flatline	Fragments	14	2012-07-09, 11:43 PM
Spectrum feat. Matthew Koma	5:59	livetune	Spectrum feat. Matthew Koma	14	2014-12-04, 5:00 PM
irony	4:20	ClariS	ClariS ~SINGLE BEST 1st~	13	2015-05-21, 3:35 PM
삼촌 Uncle (feat. Lee Juck)	3:24	IU	Last Fantasy	13	2011-11-29, 5:05 AM
Monday Afternoon	4:13	IU	Monday Afternoon - EP	13	2015-07-21, 4:24 AM
Pick Me Up	3:51	Perfume	Relax In The City / Pick Me Up	13	2015-05-01, 7:49 PM
Stay With Me (feat. G-DRAGON)	3:23	Taeyang	Rise	13	2015-09-21, 6:30 PM
ME!ME!ME! Part 1	1:33	TeddyLoid	ME!ME!ME! feat. daoko - Single	13	2015-06-16, 5:50 PM
Lucky Girl*	4:14	Yun*chi	Lucky Girl* - EP	13	2015-10-11, 6:31 PM
Wonderful Wonder World*	4:54	Yun*chi	Wonderful Wonder World* - EP	13	2015-10-11, 6:31 PM
Crash Into Me	5:16	Dave Matthews Band	Crash	12	2015-09-28, 8:24 PM
Love Love Love	3:51	Epik High	Remapping the Human Soul	12	2015-07-26, 10:43 PM
으르렁 Growl	3:27	EXO	XOXO (Repackage)	12	2014-10-31, 3:07 AM
그XX	3:20	G-Dragon	One Of A Kind	12	2014-11-21, 5:53 PM
Brand New Day	4:08	Kim Bo Kyung	the FIRST DAY (EP)	12	2014-11-01, 12:59 AM
Shut Up and Dance	3:19	WALK THE MOON	TALKING IS HARD	12	2015-07-09, 5:42 PM
얼음들 Melted	3:56	Akdong Musician	Play	11	2014-11-01, 1:22 AM
안녕 Don't Hate Me	3:48	Akdong Musician	Play	11	2014-11-01, 1:22 AM
Let's Not Fall In Love	3:32	BIGBANG	M A D E - Singles	11	2015-08-05, 2:00 AM
벽지무늬 Wallpaper Pattern	3:41	IU	Last Fantasy	11	2011-11-29, 5:05 AM
Teacher (feat. Ra.D)	4:01	IU	Last Fantasy	11	2011-11-29, 5:05 AM
Pay No Mind (feat. Passion Pit)	4:09	Madeon	Adventure (Deluxe)	11	2015-10-03, 7:29 PM
지하철에서 On the Subway	3:42	Akdong Musician	Play	10	2014-11-01, 1:22 AM
Honey, I'm Good.	3:19	Andy Grammer	Magazines or Novels	10	2015-09-12, 3:28 PM
Tripping Billies	5:00	Dave Matthews Band	Crash	10	2015-09-28, 8:24 PM
Last Fantasy	6:08	IU	Last Fantasy	10	2011-11-29, 5:05 AM
Light Song (Hiroyuki ODA remix)	8:10	livetune	RE:MIKUS	10	2014-12-04, 4:58 PM
Cream On Chrome	4:16	Ratatat	Magnifique	10	2015-07-09, 2:30 PM
Bruises (feat. Ashley Monroe)	3:52	Train	California 37	10	2015-07-12, 6:52 PM
Reverb*	5:36	Yun*chi	Asterisk*	10	2014-12-24, 6:40 PM
Codec	6:02	Zedd	Clarity	10	2014-11-28, 5:05 PM
양화대교 (Yanghwa Brdg)	3:49	Zion.t	양화대교 (Yanghwa Brdg) - Single	10	2015-07-26, 11:39 PM
The Days (Henrik B Remix)	3:57	Avicii	The Days/Nights - EP	9	2015-07-27, 4:47 PM
Up & Down	3:10	EXID	Ah Yeah	9	2015-07-02, 4:31 PM
Alive (Cash Cash & Kalkutta Remix)	5:32	Krewella	Alive - Single	9	2015-07-17, 3:37 PM
Redial (feat. Hatsune Miku)	4:44	livetune	Re:Dial	9	2013-02-27, 4:04 AM
Fight the night	4:15	ONE OK ROCK	35xxxv	9	2015-05-21, 3:43 PM
Make My Day!	3:44	Piko	Pikollection "Best+4"	9	2015-07-04, 5:41 PM
집(feat. 이소라)	4:29	Tablo	Fever's End	9	2014-11-01, 12:48 AM
링가 링가 Ringa Linga	3:47	Taeyang	Rise	9	2015-09-21, 6:30 PM
Viva Namida	5:31	Yun*chi	Ani*Yun - Anime Song Cover	9	2015-10-11, 6:31 PM
Dear Boy (Avicii By Avicii)	5:31	Avicii	True: Avicii By Avicii	8	2015-07-27, 4:47 PM
LOSER	3:39	BIGBANG	M A D E - Singles	8	2015-07-02, 4:25 PM
Seasons of Love (From the Motion Picture RENT)	3:03	Cast of Rent	Seasons of Love (From the Motion Picture RENT) - Single	8	2011-10-14, 7:07 AM
Kill This Love	3:54	Epik High	99	8	2015-07-26, 10:01 PM
Some Nights	4:34	Fun.	Some Nights	8	2014-12-24, 6:31 PM
Best I Ever Had	3:46	Gavin DeGraw	Make a Move	8	2015-07-12, 6:51 PM
Torture (feat. Eric Krasno)	3:43	Gramatik	The Age of Reason	8	2015-09-28, 9:24 AM
Every Night	3:36	Imagine Dragons	Night Visions	8	2014-11-01, 1:19 AM
Underdog	3:27	Imagine Dragons	Night Visions	8	2014-11-01, 1:19 AM
Pixel Empire	4:05	Madeon	Adventure (Deluxe)	8	2015-10-03, 7:29 PM
Divinity (feat. Amy Millan)	6:08	Porter Robinson	Worlds	8	2015-01-02, 5:00 PM
설레인다	3:23	Psy	PSY FIVE	8	2014-11-01, 12:42 AM
If You	4:24	BIGBANG	M A D E - Singles	7	2015-07-01, 5:34 PM
Slow Acid	3:42	Calvin Harris	Motion	7	2015-07-02, 4:48 PM
milky way	4:34	emon (Tes.)	emonloid 2	7	2015-05-01, 9:15 PM
Hum Hallelujah	3:51	Fall Out Boy	Infinity On High	7	2015-07-07, 2:08 AM
HEY YOU (with Sugar Flow)	3:11	Humming Urban Stereo	SPARKLE	7	2014-12-04, 5:30 PM
금요일에 만나요 Friday (feat. Jang Yi-Jeong)	3:37	IU	Modern Times – Epilogue	7	2015-07-07, 1:49 AM
봄 사랑 벚꽃 말고 Not Spring, Love, or Cherry Blossoms	3:15	IU	봄 사랑 벚꽃 말고 Not Spring, Love, or Cherry Blossoms - Single	7	2015-07-07, 1:48 AM
Fantasia	5:18	livetune	To	7	2014-12-04, 4:57 PM
Ok	3:02	Madeon	Adventure (Deluxe)	7	2015-10-03, 7:29 PM
Million Voices	5:58	Otto Knows	Million Voices - Single	7	2015-08-13, 3:45 PM
透明人間	3:40	Perfume	Relax In The City / Pick Me Up	7	2015-05-01, 7:49 PM
작은별 Little Star	3:47	Akdong Musician	Play	6	2014-11-01, 1:22 AM
After Dark	3:15	ASIAN KUNG-FU GENERATION	Best Hit AKG	6	2015-07-07, 2:29 AM
Waiting For Love	3:51	Avicii	Stories	6	2015-10-03, 3:01 AM
I Could Be the One (Avicii vs Nicky Romero) [Nicktim - Mix]	7:36	Avicii & Nicky Romero	I Could Be the One (Avicii vs Nicky Romero) [Remixes]	6	2015-07-27, 4:47 PM
Ain't No Fun	3:42	BIGBANG	Alive	6	2015-05-01, 8:39 PM
BAE BAE	2:49	BIGBANG	M A D E - Singles	6	2015-07-02, 4:25 PM
Blame (feat. John Newman)	3:33	Calvin Harris	Motion	6	2015-07-02, 4:48 PM
CONTROL	4:37	capsule	CAPS LOCK	6	2015-05-01, 8:51 PM
SHIFT	3:51	capsule	CAPS LOCK	6	2015-05-01, 8:51 PM
Thnks Fr Th Mmrs	3:24	Fall Out Boy	Infinity On High	6	2015-07-07, 2:08 AM
A Boy (소년이여)	3:29	G-Dragon	Heartbreaker	6	2015-07-26, 9:19 PM
You're A Chemical (Feat. Beenzino)	2:59	Giriboy	치명적인 앨범	6	2015-08-17, 5:08 PM
