title	dur	artist	album	value	dAdded
Broken Arrows	3:53	Avicii	Stories	46	2015-10-03, 3:01 AM
ray feat. Hatsune Miku	5:01	BUMP OF CHICKEN	ray - Single	45	2014-11-21, 6:03 PM
Connection	4:07	livetune	DECORATOR EP	45	2014-10-31, 1:42 AM
Packaged (Shipping in 2013 remix)	4:54	livetune	DECORATOR EP	42	2014-10-31, 1:42 AM
내 집에서 나가 (Feat. 권정열 Of 10cm)	3:23	Hyuna	A+	41	2015-08-21, 3:16 PM
ME!ME!ME! Part 3	2:38	TeddyLoid	ME!ME!ME! feat. daoko - Single	38	2015-06-16, 5:50 PM
Run & Run (Intro)	1:31	Hyuna	A+	37	2015-08-21, 3:16 PM
monochrome	6:09	綾倉盟	Blossom	36	2015-05-17, 3:31 AM
Pink or Black	3:06	livetune	DECORATOR EP	35	2014-10-31, 1:42 AM
부르즈 할리파 (Feat. 얀키, 개코)	4:26	Epik High	Shoebox	34	2015-06-13, 12:57 PM
없구나 LONELY	4:05	B1A4	Who Am I	31	2014-11-04, 10:51 PM
Mental Breaker	3:29	Block B	Blockbuster	31	2014-12-24, 6:14 PM
Shinonome Scrumble (feat. Hatsune Miku)	4:44	Dixie Flatline	Fragments	31	2012-07-09, 11:43 PM
여자 대통령	3:33	Girl's Day	여자 대통령	29	2015-07-01, 5:25 PM
GOOD BOY	4:05	GD X TAEYANG	GOOD BOY	28	2015-05-17, 3:48 PM
Masked bitcH (colate remix)	5:38	ギガP	colate remix works	28	2015-01-27, 11:41 AM
잘나가서 그래 (Feat. 정일훈 Of BTOB)	3:23	Hyuna	A+	27	2015-08-21, 3:16 PM
얼음 땡 (Ice Ice) (Feat. 육지담)	3:17	Hyuna	A+	27	2015-08-21, 3:16 PM
DECORATOR	3:25	livetune	DECORATOR EP	27	2014-10-31, 1:42 AM
Good Goodbye	3:46	ONE OK ROCK	35xxxv	27	2015-05-21, 3:43 PM
Years of War (feat. Breanne Duren & Sean Caskey)	3:56	Porter Robinson	Worlds	27	2015-01-02, 5:00 PM
Zutter (GD & T.O.P)	3:14	BIGBANG	M A D E - Singles	26	2015-08-05, 2:00 AM
Jackpot	3:13	Block B	HER	26	2015-01-20, 1:24 PM
12월의 기적 Miracles in December	4:33	EXO	Miracles in December	26	2014-10-31, 3:10 AM
Sober	3:58	BIGBANG	M A D E - Singles	24	2015-07-01, 5:34 PM
Tenerife Sea	4:01	Ed Sheeran	x (Deluxe Edition)	24	2014-11-09, 1:29 PM
Ray (feat. Hatsune Miku)	5:36	livetune	To	24	2014-12-04, 4:57 PM
What's Happening	3:20	B1A4	이게 무슨 일이야	23	2014-11-04, 10:51 PM
Heart	2:47	IU	Heart - Single	23	2015-06-15, 3:33 PM
솔직히 까고말해	3:34	Psy	PSY FIVE	23	2014-11-01, 12:42 AM
헤픈엔딩 (Feat. 조원선 of 롤러코스터)	4:24	Epik High	Shoebox	22	2015-06-13, 12:57 PM
또 싸워 (Feat. 윤하)	4:11	Epik High	Shoebox	22	2015-06-13, 12:57 PM
BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)	5:27	Epik High	Shoebox	22	2015-06-13, 12:57 PM
We Like 2 Party	3:16	BIGBANG	M A D E - Singles	21	2015-06-29, 1:43 PM
LIFE IS GOOD (Feat. 박재범)	3:20	Epik High	Shoebox	21	2015-06-13, 12:57 PM
오늘밤새	3:45	Psy	PSY FIVE	21	2014-11-01, 12:42 AM
Find Me feat. Hatsune Miku	3:59	八王子P	Twinkle World	21	2014-10-31, 1:46 AM
길이나 Anyway	3:09	Akdong Musician	Play	20	2014-11-01, 1:22 AM
YOU ARE MY GIRL	3:42	B1A4	IGNITION	20	2014-11-04, 10:46 PM
나비소녀 Don't Go	3:34	EXO	XOXO (Repackage)	20	2014-10-31, 3:07 AM
Stockholm feat. Megurine Luka (ストックホルム)	4:08	八王子P	Twinkle World	20	2014-10-31, 1:46 AM
가르마 Hair Part	3:46	Akdong Musician	Play	19	2014-11-01, 1:22 AM
RICH (Feat. 태양)	4:17	Epik High	Shoebox	19	2015-06-13, 12:57 PM
나의 옛날이야기	3:34	IU	Flower Bookmark	19	2014-11-01, 2:14 AM
Yellow (Re:Dialed)	3:21	livetune	Re:Dial	19	2014-12-04, 4:59 PM
Seikan Hikou	3:54	Nakajima Megumi	Macross Frontier Original Soundtrack 2 - Nyan Tora.	19	2014-11-21, 5:41 PM
까탈레나 (Catallena)	3:13	Orange Caramel	The Third Single Catallena	19	2014-10-31, 3:14 AM
인공잔디 Artificial Grass	3:46	Akdong Musician	Play	18	2014-11-01, 1:22 AM
Galaxy	2:59	Akdong Musician	Play	18	2014-11-01, 1:22 AM
Bang Bang Bang	3:40	BIGBANG	M A D E - Singles	18	2015-06-29, 1:43 PM
Afire Love	5:14	Ed Sheeran	x (Deluxe Edition)	18	2014-11-09, 1:29 PM
막을 올리며	4:34	Epik High	Shoebox	18	2015-06-13, 12:57 PM
와리가리  	3:48	hyukoh	22	18	2015-08-11, 11:00 PM
너랑 나 You & I	4:00	IU	Last Fantasy	18	2011-11-29, 5:05 AM
On The Way Home	4:00	John Mayer	Paradise Valley	18	2014-12-24, 6:33 PM
GAME OVER	4:06	八王子P	ViViD WAVE	18	2014-10-31, 8:56 PM
200%	3:13	Akdong Musician	Play	17	2014-11-01, 1:22 AM
It's Time	3:58	Imagine Dragons	Night Visions	17	2014-11-01, 1:19 AM
비밀 Secret	4:05	IU	Last Fantasy	17	2011-11-29, 5:05 AM
Drop To Hold You	3:39	Matt Nathanson	Modern Love	17	2014-11-15, 8:51 PM
나쁜놈	3:46	Mighty Mouth	나쁜놈	17	2014-11-01, 12:57 AM
Tokyo (feat. SEKAI NO OWARI)	3:40	Owl City	Tokyo (feat. SEKAI NO OWARI) - Single	17	2014-12-04, 5:25 PM
Shout Out (Synth Rock Ver.)	3:07	Royal Pirates	Shout Out	17	2014-10-31, 2:23 PM
NaNa's Theme (inst.)	2:23	오준성	시티헌터 OST Part.4	17	2014-11-01, 1:07 AM
プライド革命	3:56	CHiCO with HoneyWorks	プライド革命	16	2015-10-09, 4:26 PM
Juvenile (feat. Kagamine Rin/Len)	4:55	Dixie Flatline	Fragments	16	2012-07-09, 11:43 PM
Photograph	4:19	Ed Sheeran	x (Deluxe Edition)	16	2014-11-09, 1:29 PM
The Man	4:10	Ed Sheeran	x (Deluxe Edition)	16	2014-11-09, 1:29 PM
Suddenly	3:42	Kim Bo Kyung	시티헌터 OST Part.4	16	2014-11-01, 1:07 AM
Wolf Bite	3:50	Owl City	Ultraviolet	16	2014-11-15, 9:47 PM
プレイボール	4:36	YUKI	playball / Sakamichi no Melody	16	2014-11-04, 10:52 PM
I'm So Sexy	3:13	댄싱게놈 (유재석, JYP)	무한도전 영동고속도로 가요제	16	2015-08-22, 1:53 PM
Tomorrow feat. Hatsune Miku	4:09	八王子P	Twinkle World	16	2014-10-31, 1:46 AM
Sweet Devil (8#Prince Raver Remix)	5:00	八王子P	x x x x the ripper	16	2014-10-31, 9:02 PM
Sweetie Sweetie (feat. Hatsune Miku)	4:56	Dixie Flatline	Fragments	15	2012-07-09, 11:43 PM
EYES NOSE LIPS (Feat. 태양)	3:33	Epik High	Shoebox	15	2015-06-13, 12:57 PM
위잉위잉  	3:14	hyukoh	20	15	2015-08-11, 11:00 PM
Spectrum feat. Matthew Koma	5:59	livetune	Spectrum feat. Matthew Koma	15	2014-12-04, 5:00 PM
Dear You	5:00	livetune	To	15	2014-12-04, 4:57 PM
Hush	3:07	Miss A	Hush	15	2014-10-31, 3:02 AM
Anata no Oto	5:02	Nakajima Megumi	Macross Frontier Original Soundtrack 2 - Nyan Tora.	15	2014-11-21, 5:41 PM
Mighty Long Fall	4:03	ONE OK ROCK	35xxxv	15	2015-05-21, 3:43 PM
Shout Out	2:53	Royal Pirates	Shout Out	15	2014-10-31, 2:23 PM
Party Junkie (colate remix)	4:44	さつき が てんこもり	colate remix works	15	2015-01-27, 11:41 AM
Torinoko City	3:26	40mP	Torinoko City	15	2014-11-12, 1:02 AM
Give Love	2:57	Akdong Musician	Play	14	2014-11-01, 1:22 AM
소재 Idea	3:20	Akdong Musician	Play	14	2014-11-01, 1:22 AM
Zero To Hero	2:21	Alan Menken	Hercules (An Original Walt Disney Records Soundtrack)	14	2015-05-01, 8:22 PM
Pure Grinding	2:52	Avicii	Stories	14	2015-10-03, 3:01 AM
Gemini (feat. Kagamine Rin/Len)	5:12	Dixie Flatline	Fragments	14	2012-07-09, 11:43 PM
Even My Dad Does Sometimes	3:49	Ed Sheeran	x (Deluxe Edition)	14	2014-11-09, 1:29 PM
AMOR FATI (Feat. 김종완 of 넬)	4:53	Epik High	Shoebox	14	2015-06-13, 12:57 PM
Right Now	3:24	Psy	PSY FIVE	14	2014-11-01, 12:42 AM
미치도록	3:23	Psy	PSY FIVE	14	2014-11-01, 12:42 AM
Begin Again	3:39	Purity Ring	Another Eternity	14	2015-06-15, 3:59 PM
Stay With Me (feat. G-DRAGON)	3:23	Taeyang	Rise	14	2015-09-21, 6:30 PM
坂道のメロディ	4:44	YUKI	playball / Sakamichi no Melody	14	2014-11-04, 10:52 PM
Lucky Girl*	4:14	Yun*chi	Lucky Girl* - EP	14	2015-10-11, 6:31 PM
Wonderful Wonder World*	4:54	Yun*chi	Wonderful Wonder World* - EP	14	2015-10-11, 6:31 PM
Another World	4:26	CAPSULE	WAVE RUNNER	13	2015-06-11, 2:13 AM
irony	4:20	ClariS	ClariS ~SINGLE BEST 1st~	13	2015-05-21, 3:35 PM
삐딱하게 (Crooked)	3:45	G-Dragon	COUP D`ETAT	13	2014-11-21, 5:52 PM
결국 (Feat. ? of YG New Girl Group)	4:03	G-Dragon	One Of A Kind	13	2014-11-21, 5:53 PM
Sing 2015	5:31	Goose house	Bitter	13	2015-05-21, 3:01 PM
Tiptoe	3:13	Imagine Dragons	Night Visions	13	2014-11-01, 1:19 AM
삼촌 Uncle (feat. Lee Juck)	3:24	IU	Last Fantasy	13	2011-11-29, 5:05 AM
Monday Afternoon	4:13	IU	Monday Afternoon - EP	13	2015-07-21, 4:24 AM
Peach	3:11	IU	Spring of a Twenty Year Old	13	2014-11-02, 1:44 PM
Dear Marie	3:43	John Mayer	Paradise Valley	13	2014-12-24, 6:33 PM
What 'bout my star?@Formo	4:47	Nakajima Ai	Macross Frontier Original Soundtrack - Nyan Furo	13	2014-11-21, 5:41 PM
Pick Me Up	3:51	Perfume	Relax In The City / Pick Me Up	13	2015-05-01, 7:49 PM
What 'bout my star? (Sheryl On Stage)	5:02	Sheryl Norm starring May'n	Macross Frontier Original Soundtrack - Nyan Furo	13	2014-11-21, 5:41 PM
Iteza - Gogo 9ji - Don't be late (Sheryl On Stage)	6:02	Sheryl Norm starring May'n	Macross Frontier Original Soundtrack - Nyan Furo	13	2014-11-21, 5:41 PM
Married To The Music	3:35	SHINee	Married To The Music - The 4th Album Repackage	13	2015-08-09, 11:02 PM
Cheers	3:48	Simon Dominic	SNL League Begins	13	2014-11-01, 12:41 AM
나쁘다(feat. 진실)	4:01	Tablo	Fever's End	13	2014-11-01, 12:48 AM
고마운 숨 (feat. 얀키, 봉태규)	3:25	Tablo	Fever's End	13	2014-11-01, 12:48 AM
ME!ME!ME! Part 1	1:33	TeddyLoid	ME!ME!ME! feat. daoko - Single	13	2015-06-16, 5:50 PM
내일은 없어	3:39	Trouble Maker	Chemistry	13	2014-11-04, 10:57 PM
Test Flight Delight	2:19	Yoko Kanno	Macross Frontier Original Soundtrack 2 - Nyan Tora.	13	2014-11-21, 5:41 PM
City Hunter (inst.)	1:42	오준성	시티헌터 OST Part.4	13	2014-11-01, 1:07 AM
레옹	3:21	이유 갓지(GOD G) 않은 이유 (박명수, 아이유)	무한도전 영동고속도로 가요제	13	2015-08-22, 1:53 PM
Free	3:31	八王子P	x x x x the ripper	13	2014-10-31, 9:02 PM
A Stranger Love (feat. Sarah Chernoff) (Original Mix)	4:00	CLASSIXX	Hanging Gardens	12	2015-06-15, 4:03 PM
Crash Into Me	5:16	Dave Matthews Band	Crash	12	2015-09-28, 8:24 PM
Love Love Love	3:51	Epik High	Remapping the Human Soul	12	2015-07-26, 10:43 PM
으르렁 Growl	3:27	EXO	XOXO (Repackage)	12	2014-10-31, 3:07 AM
그XX	3:20	G-Dragon	One Of A Kind	12	2014-11-21, 5:53 PM
시간이 날 기다려 (Tik Tok) (Feat. Swings & 임성현)	3:58	Giriboy	치명적인 앨범	12	2015-08-17, 5:08 PM
Ohio	4:08	hyukoh	20	12	2015-08-11, 11:00 PM
Modern Times	3:26	IU	Modern Times	12	2014-11-02, 1:51 PM
아이야 나랑 걷자 (Feat. 최백호)	5:00	IU	Modern Times	12	2014-11-02, 1:51 PM
Brand New Day	4:08	Kim Bo Kyung	the FIRST DAY (EP)	12	2014-11-01, 12:59 AM
Mercy	3:09	Matt Nathanson	Modern Love	12	2014-11-15, 8:51 PM
Bottom Of The Sea	2:46	Matt Nathanson	Modern Love	12	2014-11-15, 8:51 PM
러버 (feat. 오혁) (Rubber)	3:28	Primary	2	12	2015-08-17, 2:47 AM
Welcome To My FanClub's Night! (Sheryl On Stage)	3:45	Sheryl Norm starring May'n	Macross Frontier Original Soundtrack - Nyan Furo	12	2014-11-21, 5:41 PM
When You Sleep (ft. Swings)	3:46	Taeyang	Solar	12	2014-11-01, 12:52 AM
Shut Up and Dance	3:19	WALK THE MOON	TALKING IS HARD	12	2015-07-09, 5:42 PM
SECRET GiRL	3:57	八王子P	ViViD WAVE	12	2014-10-31, 8:56 PM
얼음들 Melted	3:56	Akdong Musician	Play	11	2014-11-01, 1:22 AM
안녕 Don't Hate Me	3:48	Akdong Musician	Play	11	2014-11-01, 1:22 AM
Honey, I'm Good.	3:19	Andy Grammer	Magazines or Novels	11	2015-09-12, 3:28 PM
Let's Not Fall In Love	3:32	BIGBANG	M A D E - Singles	11	2015-08-05, 2:00 AM
Tripping Billies	5:00	Dave Matthews Band	Crash	11	2015-09-28, 8:24 PM
I See Fire	4:59	Ed Sheeran	x (Deluxe Edition)	11	2014-11-09, 1:29 PM
세상을 흔들어 (Shake The World)	2:55	G-Dragon	COUP D`ETAT	11	2014-11-21, 5:52 PM
Something	3:21	Girl's Day	Something	11	2014-11-12, 1:04 AM
光るなら	4:12	Goose house	Milk	11	2015-05-21, 2:57 PM
オトノナルホウヘ→	3:36	Goose house	Milk	11	2015-05-21, 2:57 PM
큰새  	3:09	hyukoh	22	11	2015-08-11, 11:00 PM
벽지무늬 Wallpaper Pattern	3:41	IU	Last Fantasy	11	2011-11-29, 5:05 AM
Teacher (feat. Ra.D)	4:01	IU	Last Fantasy	11	2011-11-29, 5:05 AM
Take Your Way (livetune Remix)	5:33	livetune	To	11	2014-12-04, 4:57 PM
Pay No Mind (feat. Passion Pit)	4:09	Madeon	Adventure (Deluxe)	11	2015-10-03, 7:29 PM
Kiss Quick	4:26	Matt Nathanson	Modern Love	11	2014-11-15, 8:51 PM
Beautiful Times (feat. Lindsey Stirling)	3:25	Owl City	Ultraviolet	11	2014-11-15, 9:47 PM
Up All Night	3:52	Owl City	Ultraviolet	11	2014-11-15, 9:47 PM
Flicker	4:39	Porter Robinson	Worlds	11	2015-01-02, 5:00 PM
마네퀸 (feat. Beenzino, 수란) (Mannequin)	3:53	Primary	2	11	2015-08-17, 2:47 AM
예술이야	4:41	Psy	PSY FIVE	11	2014-11-01, 12:42 AM
Push Pull	3:29	Purity Ring	Another Eternity	11	2015-06-15, 3:59 PM
이리 와 (Attention)	3:26	Trouble Maker	Chemistry	11	2014-11-04, 10:57 PM
Viva Namida	5:31	Yun*chi	Ani*Yun - Anime Song Cover	11	2015-10-11, 6:31 PM
Shake you*	4:55	Yun*chi	Asterisk*	11	2014-12-24, 6:40 PM
Muffler*	4:09	Yun*chi	Asterisk*	11	2014-12-24, 6:40 PM
스폰서 ($ponsor)	4:06	으뜨거따시 (하하, 자이언티)	무한도전 영동고속도로 가요제	11	2015-08-22, 1:53 PM
지하철에서 On the Subway	3:42	Akdong Musician	Play	10	2014-11-01, 1:22 AM
nexus	4:53	ClariS	ClariS ~SINGLE BEST 1st~	10	2015-05-21, 3:35 PM
꽃	3:00	IU	Flower Bookmark	10	2014-11-01, 2:14 AM
Last Fantasy	6:08	IU	Last Fantasy	10	2011-11-29, 5:05 AM
Paper Doll	4:17	John Mayer	Paradise Valley	10	2014-12-24, 6:33 PM
Sharin no uta	6:03	Kei Takebuchi	KEI's 8	10	2015-05-21, 3:48 PM
Light Song (Hiroyuki ODA remix)	8:10	livetune	RE:MIKUS	10	2014-12-04, 4:58 PM
Modern Love	3:32	Matt Nathanson	Modern Love	10	2014-11-15, 8:51 PM
Love Comes Tumbling Down	4:40	Matt Nathanson	Modern Love	10	2014-11-15, 8:51 PM
Room At The End Of The World	4:08	Matt Nathanson	Modern Love	10	2014-11-15, 8:51 PM
Ai Oboete Imasuka ~ bless the little queen	4:30	Nakajima Megumi	Macross Frontier Original Soundtrack 2 - Nyan Tora.	10	2014-11-21, 5:41 PM
Decision	3:45	ONE OK ROCK	35xxxv	10	2015-05-21, 3:43 PM
Deer In The Headlights	3:01	Owl City	All Thing Bright And Beautiful - Deluxe	10	2014-12-04, 4:54 PM
The Saltwater Room	4:03	Owl City	Ocean Eyes	10	2014-12-04, 4:52 PM
Cream On Chrome	4:16	Ratatat	Magnifique	10	2015-07-09, 2:30 PM
Drawing The Line	3:02	Royal Pirates	Drawing The Line	10	2014-10-31, 2:23 PM
Bruises (feat. Ashley Monroe)	3:52	Train	California 37	10	2015-07-12, 6:52 PM
Viva Namida	5:36	Yasuyuki Okamura	Viva Namida [Space Dandy Edition]	10	2015-09-16, 4:23 PM
Reverb*	5:36	Yun*chi	Asterisk*	10	2014-12-24, 6:40 PM
Codec	6:02	Zedd	Clarity	10	2014-11-28, 5:05 PM
양화대교 (Yanghwa Brdg)	3:49	Zion.t	양화대교 (Yanghwa Brdg) - Single	10	2015-07-26, 11:39 PM
ViViD WAVE	4:25	八王子P	ViViD WAVE	10	2014-10-31, 8:56 PM
CRAZY GiRL	4:04	八王子P	x x x x the ripper	10	2014-10-31, 9:02 PM
The Days (Henrik B Remix)	3:57	Avicii	The Days/Nights - EP	9	2015-07-27, 4:47 PM
스포일러	4:38	Epik High	Shoebox	9	2015-06-13, 12:57 PM
Up & Down	3:10	EXID	Ah Yeah	9	2015-07-02, 4:31 PM
